"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Philadelphia Eagles","","45.7","13.8","13.3","23.1","2.8","0.0","344.1","5,512.3","116.3"
"Denver Broncos","","52.4","12.5","11.1","15.6","2.6","0.5","341.6","5,363.9","116.3"
"Buffalo Bills","","45.3","14.0","12.7","21.2","2.7","0.5","345.1","5,797.1","115.9"
"Houston Texans","","47.5","15.2","10.0","14.2","2.7","0.5","352.3","5,551.0","115.0"
"Baltimore Ravens","","52.5","14.0","9.7","13.7","2.3","0.5","341.1","5,327.8","114.8"
"Green Bay Packers","","46.5","12.8","12.0","18.4","2.4","0.5","357.3","5,642.3","111.7"
"Pittsburgh Steelers","","44.0","13.6","12.2","20.3","2.5","0.0","348.2","5,691.1","110.3"
"Minnesota Vikings","","45.8","13.6","10.2","15.1","2.5","0.0","356.3","5,324.0","108.6"
"New York Giants","","50.6","10.4","11.9","19.2","2.1","0.0","420.0","5,842.2","107.7"
"Dallas Cowboys","","48.8","11.5","10.0","16.6","2.5","0.0","409.3","6,058.3","106.9"
"Detroit Lions","","43.0","13.9","9.6","14.3","2.5","0.0","375.9","5,788.7","104.9"
"Los Angeles Rams","","45.0","13.2","9.1","14.8","2.2","0.5","375.6","5,912.2","104.1"
"Los Angeles Chargers","","46.9","12.3","9.8","15.2","2.1","0.0","370.7","5,823.5","103.6"
"San Francisco 49ers","","43.0","13.3","8.8","13.8","2.3","1.0","384.8","5,644.7","103.1"
"Washington Commanders","","46.0","11.4","10.3","15.9","2.1","0.5","399.3","6,099.2","102.9"
"Tampa Bay Buccaneers","","44.2","11.8","11.0","16.7","2.0","0.5","374.6","5,713.0","102.9"
"Kansas City Chiefs","","45.7","11.8","9.3","14.3","2.2","0.5","348.2","5,596.1","102.3"
"Seattle Seahawks","","45.1","12.9","8.6","13.8","2.0","0.5","362.7","5,645.2","101.3"
"Chicago Bears","","40.4","13.0","10.3","17.4","2.1","0.5","386.8","5,910.2","100.7"
"Indianapolis Colts","","41.0","12.6","9.6","15.1","2.2","1.0","403.6","5,703.1","100.6"
"Arizona Cardinals","","43.2","12.0","9.1","14.8","2.1","1.0","392.1","5,817.0","99.6"
"Cleveland Browns","","44.9","11.1","9.2","14.4","2.2","0.0","420.9","5,982.6","98.7"
"New York Jets","","43.4","12.1","9.6","14.6","1.8","0.5","388.6","5,395.6","98.6"
"Cincinnati Bengals","","40.1","12.4","9.3","14.7","2.1","0.0","422.9","6,167.1","96.2"
"Las Vegas Raiders","","42.7","11.3","7.9","12.5","1.9","0.5","419.9","5,784.8","93.9"
"Miami Dolphins","","39.8","11.1","8.9","13.5","2.0","0.5","393.5","5,702.0","92.6"
"Jacksonville Jaguars","","39.2","11.7","8.3","12.2","2.0","0.5","415.1","5,890.3","92.1"
"New Orleans Saints","","39.1","13.3","7.6","10.3","1.8","0.0","396.9","6,112.0","92.0"
"Atlanta Falcons","","39.3","11.7","8.4","13.6","1.9","0.5","414.1","6,007.6","92.0"
"Tennessee Titans","","39.9","10.7","8.5","13.8","1.7","0.5","423.2","5,724.6","89.7"
"New England Patriots","","36.0","11.5","8.1","11.5","1.9","0.0","403.4","5,554.2","86.7"
"Carolina Panthers","","34.8","11.2","7.8","11.4","1.7","0.0","442.6","6,299.8","83.2"
""
""